mouse_symbol,mouse_ensembl,human_ensembl,orthology_type
Gm26122,ENSMUSG00000065296,ENSG00000200444,ortholog_one2one
Trim75,ENSMUSG00000071089,ENSG00000132274,ortholog_one2one
Gja8,ENSMUSG00000049908,ENSG00000121634,ortholog_one2one
Trim60,ENSMUSG00000053490,ENSG00000176979,ortholog_one2one
Tnxb,ENSMUSG00000033327,ENSG00000168477,ortholog_one2one
Mir183,ENSMUSG00000065619,ENSG00000207691,ortholog_one2one
Mospd2,ENSMUSG00000061778,ENSG00000130150,ortholog_one2one
Cpa2,ENSMUSG00000071553,ENSG00000158516,ortholog_one2one
Gm24851,ENSMUSG00000088653,ENSG00000206762,ortholog_one2one
Frmpd2,ENSMUSG00000108841,ENSG00000170324,ortholog_one2one
Galnt4,ENSMUSG00000090035,ENSG00000257594,ortholog_one2one
Tssk6,ENSMUSG00000047654,ENSG00000178093,ortholog_one2one
Gzmm,ENSMUSG00000054206,ENSG00000197540,ortholog_one2one
Rbp3,ENSMUSG00000041534,ENSG00000265203,ortholog_one2one
Gm25794,ENSMUSG00000065220,ENSG00000201744,ortholog_one2one
Mir486,ENSMUSG00000070084,ENSG00000274705,ortholog_one2one
Gm55851,ENSMUSG00002075398,ENSG00000264501,ortholog_one2one
Tcim,ENSMUSG00000056313,ENSG00000176907,ortholog_one2one
Mir335,ENSMUSG00000065501,ENSG00000199043,ortholog_one2one
Opn4,ENSMUSG00000021799,ENSG00000122375,ortholog_one2one
Or13a1,ENSMUSG00000053391,ENSG00000256574,ortholog_one2one
Gm23839,ENSMUSG00000080607,ENSG00000221139,ortholog_one2one
Gm24254,ENSMUSG00000065636,ENSG00000201954,ortholog_one2one
Ado,ENSMUSG00000057134,ENSG00000181915,ortholog_one2one
Capns2,ENSMUSG00000078144,ENSG00000256812,ortholog_one2one
Mir346,ENSMUSG00000065481,ENSG00000199104,ortholog_one2one
Taar9,ENSMUSG00000037424,ENSG00000237110,ortholog_one2one
Lrit1,ENSMUSG00000041044,ENSG00000148602,ortholog_one2one
Lrit2,ENSMUSG00000043418,ENSG00000204033,ortholog_one2one
Mir490,ENSMUSG00000070075,ENSG00000207597,ortholog_one2one
Gm24614,ENSMUSG00000065203,ENSG00000206803,ortholog_one2one
Ids,ENSMUSG00000035847,ENSG00000010404,ortholog_one2one
Svopl,ENSMUSG00000029830,ENSG00000157703,ortholog_one2one
Pex39,ENSMUSG00000062619,ENSG00000221821,ortholog_one2one
Trim67,ENSMUSG00000036913,ENSG00000119283,ortholog_one2one
Mex3a,ENSMUSG00000074480,ENSG00000254726,ortholog_one2one
Hkdc1,ENSMUSG00000020080,ENSG00000156510,ortholog_one2one
Ptger2,ENSMUSG00000037759,ENSG00000125384,ortholog_one2one
Atp6v0a4,ENSMUSG00000038600,ENSG00000105929,ortholog_one2one
Exoc8,ENSMUSG00000074030,ENSG00000116903,ortholog_one2one
Rps4x,ENSMUSG00000031320,ENSG00000198034,ortholog_one2one
Cldn20,ENSMUSG00000091530,ENSG00000171217,ortholog_one2one
Capn13,ENSMUSG00000043705,ENSG00000162949,ortholog_one2one
S1pr4,ENSMUSG00000044199,ENSG00000125910,ortholog_one2one
Slc10a5,ENSMUSG00000058921,ENSG00000253598,ortholog_one2one
Slc10a2,ENSMUSG00000023073,ENSG00000125255,ortholog_one2one
Tmem213,ENSMUSG00000029829,ENSG00000214128,ortholog_one2one
Gm26008,ENSMUSG00000089422,ENSG00000201825,ortholog_one2one
Fbxl14,ENSMUSG00000030019,ENSG00000171823,ortholog_one2one
Mab21l1,ENSMUSG00000056947,ENSG00000180660,ortholog_one2one
Map10,ENSMUSG00000050930,ENSG00000212916,ortholog_one2one
Cpap,ENSMUSG00000064128,ENSG00000151849,ortholog_one2one
Tspan6,ENSMUSG00000067377,ENSG00000000003,ortholog_one2one
Gm55481,ENSMUSG00002075720,ENSG00000206679,ortholog_one2one
Slc4a5,ENSMUSG00000068323,ENSG00000188687,ortholog_one2one
Gm55487,ENSMUSG00002074873,ENSG00000222385,ortholog_one2one
Gm24202,ENSMUSG00000064882,ENSG00000200759,ortholog_one2one
Hoxa4,ENSMUSG00000000942,ENSG00000197576,ortholog_one2one
Hoxa5,ENSMUSG00000038253,ENSG00000106004,ortholog_one2one
Maoa,ENSMUSG00000025037,ENSG00000189221,ortholog_one2one
Mindy4b-ps,ENSMUSG00000101860,ENSG00000214237,ortholog_one2one
Hoxa6,ENSMUSG00000043219,ENSG00000106006,ortholog_one2one
Mir196b,ENSMUSG00000065443,ENSG00000283745,ortholog_one2one
Tmem241,ENSMUSG00000049411,ENSG00000134490,ortholog_one2one
Gm56036,ENSMUSG00002075397,ENSG00000273961,ortholog_one2one
Gm56037,ENSMUSG00002075448,ENSG00000278334,ortholog_one2one
Gm56118,ENSMUSG00000117965,ENSG00000286224,ortholog_one2one
Eid3,ENSMUSG00000109864,ENSG00000255150,ortholog_one2one
0610030E20Rik,ENSMUSG00000058706,ENSG00000168887,ortholog_one2one
Or2t6,ENSMUSG00000052417,ENSG00000198104,ortholog_one2one
Gm26485,ENSMUSG00000088644,ENSG00000252247,ortholog_one2one
Bhlhe22,ENSMUSG00000025128,ENSG00000180828,ortholog_one2one
Gm25964,ENSMUSG00000087796,ENSG00000252611,ortholog_one2one
Evx1,ENSMUSG00000005503,ENSG00000106038,ortholog_one2one
Dnase1l3,ENSMUSG00000025279,ENSG00000163687,ortholog_one2one
Gm55812,ENSMUSG00002075132,ENSG00000281295,ortholog_one2one
Nxt2,ENSMUSG00000042271,ENSG00000101888,ortholog_one2one
Rxfp4,ENSMUSG00000049741,ENSG00000173080,ortholog_one2one
Hepacam2,ENSMUSG00000044156,ENSG00000188175,ortholog_one2one
Gpr171,ENSMUSG00000050075,ENSG00000174946,ortholog_one2one
Gm26265,ENSMUSG00000065211,ENSG00000281910,ortholog_one2one
Or1f19,ENSMUSG00000051003,ENSG00000168124,ortholog_one2one
Mir489,ENSMUSG00000070107,ENSG00000207656,ortholog_one2one
Gm25820,ENSMUSG00000105448,ENSG00000281516,ortholog_one2one
Gm55498,ENSMUSG00002075203,ENSG00000207475,ortholog_one2one
Slc7a3,ENSMUSG00000031297,ENSG00000165349,ortholog_one2one
Nrg1,ENSMUSG00000118541,ENSG00000286131,ortholog_one2one
Gm56083,ENSMUSG00002075238,ENSG00000221093,ortholog_one2one
Rsbn1,ENSMUSG00000044098,ENSG00000081019,ortholog_one2one
Tex15,ENSMUSG00000009628,ENSG00000133863,ortholog_one2one
Gm56084,ENSMUSG00002075015,ENSG00000223026,ortholog_one2one
Mir135a-2,ENSMUSG00000065524,ENSG00000207586,ortholog_one2one
Mir1251,ENSMUSG00000093227,ENSG00000221479,ortholog_one2one
Cldn23,ENSMUSG00000055976,ENSG00000253958,ortholog_one2one
AI429214,ENSMUSG00000074384,ENSG00000164743,ortholog_one2one
Lipi,ENSMUSG00000032948,ENSG00000188992,ortholog_one2one
Tacstd2,ENSMUSG00000051397,ENSG00000184292,ortholog_one2one
Sgcz,ENSMUSG00000039539,ENSG00000185053,ortholog_one2one
Gm26091,ENSMUSG00000118779,ENSG00000200220,ortholog_one2one
Msr1,ENSMUSG00000025044,ENSG00000038945,ortholog_one2one
Gm24457,ENSMUSG00000065130,ENSG00000200106,ortholog_one2one
Lpar5,ENSMUSG00000067714,ENSG00000184574,ortholog_one2one
Or11h6,ENSMUSG00000050028,ENSG00000176219,ortholog_one2one
Naaladl2,ENSMUSG00000102758,ENSG00000177694,ortholog_one2one
Ces4a,ENSMUSG00000060560,ENSG00000172824,ortholog_one2one
Gm56924,ENSMUSG00000119940,ENSG00000289766,ortholog_one2one
Pbp2,ENSMUSG00000047104,ENSG00000089220,ortholog_one2one
Klhl33,ENSMUSG00000090799,ENSG00000185271,ortholog_one2one
Emp1,ENSMUSG00000030208,ENSG00000134531,ortholog_one2one
Rnase12,ENSMUSG00000068407,ENSG00000258436,ortholog_one2one
Plekhg4,ENSMUSG00000014782,ENSG00000196155,ortholog_one2one
Or6s1,ENSMUSG00000035932,ENSG00000181803,ortholog_one2one
Eda2r,ENSMUSG00000034457,ENSG00000131080,ortholog_one2one
Iqcn,ENSMUSG00000110622,ENSG00000130518,ortholog_one2one
Snora68,ENSMUSG00000077563,ENSG00000207166,ortholog_one2one
Ccdc194,ENSMUSG00000108900,ENSG00000269720,ortholog_one2one
Clec7a,ENSMUSG00000079293,ENSG00000172243,ortholog_one2one
Cfap92,ENSMUSG00000089997,ENSG00000114656,ortholog_one2one
Cldn2,ENSMUSG00000047230,ENSG00000165376,ortholog_one2one
Jund,ENSMUSG00000071076,ENSG00000130522,ortholog_one2one
Tssk1,ENSMUSG00000041566,ENSG00000212122,ortholog_one2one
Ptprg,ENSMUSG00000121513,ENSG00000144724,ortholog_one2one
Chrdl1,ENSMUSG00000031283,ENSG00000101938,ortholog_one2one
H1f10,ENSMUSG00000044927,ENSG00000184897,ortholog_one2one
Tssk2,ENSMUSG00000045521,ENSG00000206203,ortholog_one2one
Trappc5,ENSMUSG00000040236,ENSG00000181029,ortholog_one2one
Nrep,ENSMUSG00000042834,ENSG00000134986,ortholog_one2one
Pcdhga10,ENSMUSG00000102222,ENSG00000253846,ortholog_one2one
Myh15,ENSMUSG00000092009,ENSG00000144821,ortholog_one2one
Zfp407,ENSMUSG00000048410,ENSG00000215421,ortholog_one2one
Antxrl,ENSMUSG00000047441,ENSG00000274209,ortholog_one2one
Clca1,ENSMUSG00000028255,ENSG00000016490,ortholog_one2one
Drap1,ENSMUSG00000024914,ENSG00000175550,ortholog_one2one
Atp2c2,ENSMUSG00000034112,ENSG00000064270,ortholog_one2one
Arhgef37,ENSMUSG00000045094,ENSG00000183111,ortholog_one2one
Gm22279,ENSMUSG00000087825,ENSG00000207202,ortholog_one2one
Veph1,ENSMUSG00000027831,ENSG00000197415,ortholog_one2one
Or6b1,ENSMUSG00000049168,ENSG00000221813,ortholog_one2one
Cibar2,ENSMUSG00000042269,ENSG00000153789,ortholog_one2one
Cd99l2,ENSMUSG00000035776,ENSG00000102181,ortholog_one2one
Scarna10,ENSMUSG00000089617,ENSG00000239002,ortholog_one2one
Gm63648,ENSMUSG00000121578,ENSG00000289763,ortholog_one2one
Pcdhgb2,ENSMUSG00000102748,ENSG00000253910,ortholog_one2one
Gm56047,ENSMUSG00002074906,ENSG00000252163,ortholog_one2one
Cbln2,ENSMUSG00000024647,ENSG00000141668,ortholog_one2one
Foxc2,ENSMUSG00000046714,ENSG00000176692,ortholog_one2one
Psmb11,ENSMUSG00000072423,ENSG00000222028,ortholog_one2one
Foxl1,ENSMUSG00000097084,ENSG00000176678,ortholog_one2one
Cebpe,ENSMUSG00000052435,ENSG00000092067,ortholog_one2one
Gkn1,ENSMUSG00000030050,ENSG00000169605,ortholog_one2one
Batf2,ENSMUSG00000039699,ENSG00000168062,ortholog_one2one
Il25,ENSMUSG00000040770,ENSG00000166090,ortholog_one2one
Zfp469,ENSMUSG00000043903,ENSG00000225614,ortholog_one2one
Mir208a,ENSMUSG00000065432,ENSG00000199157,ortholog_one2one
Mir208b,ENSMUSG00000077928,ENSG00000215991,ortholog_one2one
Lars1,ENSMUSG00000024493,ENSG00000133706,ortholog_one2one
Gkn2,ENSMUSG00000030049,ENSG00000183607,ortholog_one2one
Gm23593,ENSMUSG00000077497,ENSG00000212624,ortholog_one2one
Snord68,ENSMUSG00000064450,ENSG00000200084,ortholog_one2one
Gm24754,ENSMUSG00000119085,ENSG00000201367,ortholog_one2one
Ptx3,ENSMUSG00000027832,ENSG00000163661,ortholog_one2one
Mc1r,ENSMUSG00000074037,ENSG00000258839,ortholog_one2one
Cd96,ENSMUSG00000022657,ENSG00000153283,ortholog_one2one
n-R5s100,ENSMUSG00000119844,ENSG00000200370,ortholog_one2one
n-R5s103,ENSMUSG00000118922,ENSG00000202257,ortholog_one2one
Gm23462,ENSMUSG00000065198,ENSG00000200560,ortholog_one2one
Lpar6,ENSMUSG00000033446,ENSG00000139679,ortholog_one2one
Gm26391,ENSMUSG00000119493,ENSG00000200381,ortholog_one2one
n-R5s134,ENSMUSG00000119587,ENSG00000201925,ortholog_one2one
n-R5s141,ENSMUSG00000119615,ENSG00000201588,ortholog_one2one
Gm22291,ENSMUSG00000118870,ENSG00000199334,ortholog_one2one
Lenep,ENSMUSG00000078173,ENSG00000163352,ortholog_one2one
Gm25627,ENSMUSG00000065937,ENSG00000200800,ortholog_one2one
Dpcd,ENSMUSG00000041035,ENSG00000166171,ortholog_one2one
Mcoln3,ENSMUSG00000036853,ENSG00000055732,ortholog_one2one
Gm24676,ENSMUSG00000119609,ENSG00000212374,ortholog_one2one
Dnaaf8,ENSMUSG00000022543,ENSG00000166246,ortholog_one2one
Gm22078,ENSMUSG00000088218,ENSG00000222890,ortholog_one2one
Gm22823,ENSMUSG00000119656,ENSG00000272055,ortholog_one2one
Eps8l3,ENSMUSG00000040600,ENSG00000198758,ortholog_one2one
Phb2,ENSMUSG00000004264,ENSG00000215021,ortholog_one2one
Gsto1,ENSMUSG00000025068,ENSG00000148834,ortholog_one2one
Gm25052,ENSMUSG00000084610,ENSG00000252066,ortholog_one2one
Gm23547,ENSMUSG00000088835,ENSG00000238795,ortholog_one2one
Mir200c,ENSMUSG00000065462,ENSG00000207713,ortholog_one2one
Cib3,ENSMUSG00000074240,ENSG00000141977,ortholog_one2one
Map3k11,ENSMUSG00000004054,ENSG00000173327,ortholog_one2one
Aknad1,ENSMUSG00000049565,ENSG00000162641,ortholog_one2one
Gm55677,ENSMUSG00002075170,ENSG00000222934,ortholog_one2one
Tspan7,ENSMUSG00000058254,ENSG00000156298,ortholog_one2one
Gan,ENSMUSG00000052557,ENSG00000261609,ortholog_one2one
Lnp1,ENSMUSG00000109588,ENSG00000206535,ortholog_one2one
Gm25681,ENSMUSG00000065872,ENSG00000207461,ortholog_one2one
Shisa9,ENSMUSG00000022494,ENSG00000237515,ortholog_one2one
Ncbp2as2,ENSMUSG00000107002,ENSG00000270170,ortholog_one2one
Mir181c,ENSMUSG00000065483,ENSG00000207613,ortholog_one2one
Mir23a,ENSMUSG00000065611,ENSG00000207980,ortholog_one2one
Mir27a,ENSMUSG00000065444,ENSG00000207808,ortholog_one2one
Ier2,ENSMUSG00000053560,ENSG00000160888,ortholog_one2one
Prkdc,ENSMUSG00000022672,ENSG00000253729,ortholog_one2one
Dand5,ENSMUSG00000053226,ENSG00000179284,ortholog_one2one
Trbv3,ENSMUSG00000076463,ENSG00000226660,ortholog_one2one
Smim31,ENSMUSG00000074300,ENSG00000248771,ortholog_one2one
Trbv4,ENSMUSG00000107486,ENSG00000237702,ortholog_one2one
Pja1,ENSMUSG00000034403,ENSG00000181191,ortholog_one2one
Snord71,ENSMUSG00000077549,ENSG00000223224,ortholog_one2one
Gm24410,ENSMUSG00000118763,ENSG00000199827,ortholog_one2one
Cited1,ENSMUSG00000051159,ENSG00000125931,ortholog_one2one
Blnk,ENSMUSG00000061132,ENSG00000095585,ortholog_one2one
Rps14,ENSMUSG00000024608,ENSG00000164587,ortholog_one2one
Trbv17,ENSMUSG00000076474,ENSG00000276819,ortholog_one2one
Gpr173,ENSMUSG00000056679,ENSG00000184194,ortholog_one2one
Trbv19,ENSMUSG00000076475,ENSG00000211746,ortholog_one2one
Sox1,ENSMUSG00000096014,ENSG00000182968,ortholog_one2one
Trbv29,ENSMUSG00000076480,ENSG00000211753,ortholog_one2one
Trbv30,ENSMUSG00000076481,ENSG00000232869,ortholog_one2one
Kctd12,ENSMUSG00000098557,ENSG00000178695,ortholog_one2one
Hdx,ENSMUSG00000034551,ENSG00000165259,ortholog_one2one
Acod1,ENSMUSG00000022126,ENSG00000102794,ortholog_one2one
Gm22073,ENSMUSG00000084617,ENSG00000222426,ortholog_one2one
Snord8,ENSMUSG00000093044,ENSG00000200785,ortholog_one2one
Gm23758,ENSMUSG00000088979,ENSG00000207249,ortholog_one2one
1110032F04Rik,ENSMUSG00000046999,ENSG00000180044,ortholog_one2one
Adamts5,ENSMUSG00000022894,ENSG00000154736,ortholog_one2one
Otud5,ENSMUSG00000031154,ENSG00000068308,ortholog_one2one
Gm25887,ENSMUSG00000088402,ENSG00000222231,ortholog_one2one
Cbln3,ENSMUSG00000040380,ENSG00000139899,ortholog_one2one
Adamts19,ENSMUSG00000053441,ENSG00000145808,ortholog_one2one
Slc49a4,ENSMUSG00000022848,ENSG00000138463,ortholog_one2one
Setd7,ENSMUSG00000037111,ENSG00000145391,ortholog_one2one
Dexi,ENSMUSG00000038055,ENSG00000182108,ortholog_one2one
Zfp516,ENSMUSG00000058881,ENSG00000101493,ortholog_one2one
Mab21l2,ENSMUSG00000057777,ENSG00000181541,ortholog_one2one
Plac1,ENSMUSG00000061082,ENSG00000170965,ortholog_one2one
Egr1,ENSMUSG00000038418,ENSG00000120738,ortholog_one2one
Rn7s6,ENSMUSG00000092746,ENSG00000265735,ortholog_one2one
Mb21d2,ENSMUSG00000051065,ENSG00000180611,ortholog_one2one
Zfp532,ENSMUSG00000042439,ENSG00000074657,ortholog_one2one
Mir124a-2,ENSMUSG00000093073,ENSG00000207816,ortholog_one2one
Ikbkg,ENSMUSG00000004221,ENSG00000269335,ortholog_one2one
Gm55537,ENSMUSG00002076653,ENSG00000207124,ortholog_one2one
Tnfrsf17,ENSMUSG00000022496,ENSG00000048462,ortholog_one2one
Samd7,ENSMUSG00000051860,ENSG00000187033,ortholog_one2one
Sorbs1,ENSMUSG00000025006,ENSG00000095637,ortholog_one2one
Pigp,ENSMUSG00000022940,ENSG00000185808,ortholog_one2one
4933402J07Rik,ENSMUSG00000069971,ENSG00000166152,ortholog_one2one
Sprr4,ENSMUSG00000045566,ENSG00000184148,ortholog_one2one
Trav2,ENSMUSG00000076759,ENSG00000211778,ortholog_one2one
Lrit3,ENSMUSG00000093865,ENSG00000183423,ortholog_one2one
Ces5a,ENSMUSG00000058019,ENSG00000159398,ortholog_one2one
Smco1,ENSMUSG00000046345,ENSG00000214097,ortholog_one2one
Trpv5,ENSMUSG00000036899,ENSG00000127412,ortholog_one2one
Ccdc54,ENSMUSG00000050685,ENSG00000138483,ortholog_one2one
1110002E22Rik,ENSMUSG00000090066,ENSG00000248713,ortholog_one2one
Trav18,ENSMUSG00000076861,ENSG00000211809,ortholog_one2one
Trdv1,ENSMUSG00000076864,ENSG00000211813,ortholog_one2one
Kel,ENSMUSG00000029866,ENSG00000197993,ortholog_one2one
Ahsg,ENSMUSG00000022868,ENSG00000145192,ortholog_one2one
Pkd1l2,ENSMUSG00000034416,ENSG00000166473,ortholog_one2one
Or9a2,ENSMUSG00000045479,ENSG00000179468,ortholog_one2one
Kcna3,ENSMUSG00000047959,ENSG00000177272,ortholog_one2one
Kcna10,ENSMUSG00000042861,ENSG00000143105,ortholog_one2one
Mir15a,ENSMUSG00000093007,ENSG00000283785,ortholog_one2one
Gm23435,ENSMUSG00000087808,ENSG00000212172,ortholog_one2one
Mir138-2,ENSMUSG00000065512,ENSG00000207649,ortholog_one2one
Ubl4b,ENSMUSG00000055891,ENSG00000186150,ortholog_one2one
Nlrc5,ENSMUSG00000074151,ENSG00000140853,ortholog_one2one
Cd8a,ENSMUSG00000053977,ENSG00000153563,ortholog_one2one
Adora3,ENSMUSG00000000562,ENSG00000282608,ortholog_one2one
Vgll3,ENSMUSG00000091243,ENSG00000206538,ortholog_one2one
Usp14,ENSMUSG00000047879,ENSG00000101557,ortholog_one2one
Ovgp1,ENSMUSG00000074340,ENSG00000085465,ortholog_one2one
Nrk,ENSMUSG00000052854,ENSG00000123572,ortholog_one2one
Lsg1,ENSMUSG00000022538,ENSG00000041802,ortholog_one2one
4930590J08Rik,ENSMUSG00000034063,ENSG00000131379,ortholog_one2one
Gm24608,ENSMUSG00000077569,ENSG00000201129,ortholog_one2one
Mboat4,ENSMUSG00000071113,ENSG00000177669,ortholog_one2one
Naa10,ENSMUSG00000031388,ENSG00000102030,ortholog_one2one
Gm22935,ENSMUSG00000077148,ENSG00000252061,ortholog_one2one
Peg10,ENSMUSG00000092035,ENSG00000254656,ortholog_one2one
Trbv31,ENSMUSG00000076499,ENSG00000237254,ortholog_one2one
Rap2b,ENSMUSG00000036894,ENSG00000181467,ortholog_one2one
Sh2d6,ENSMUSG00000052631,ENSG00000152292,ortholog_one2one
Crabp2,ENSMUSG00000004885,ENSG00000143320,ortholog_one2one
Slc25a31,ENSMUSG00000069041,ENSG00000151475,ortholog_one2one
Mbp,ENSMUSG00000041607,ENSG00000197971,ortholog_one2one
Polq,ENSMUSG00000034206,ENSG00000051341,ortholog_one2one
Mir15b,ENSMUSG00000065580,ENSG00000207779,ortholog_one2one
Mir16-2,ENSMUSG00000065606,ENSG00000198987,ortholog_one2one
Adam30,ENSMUSG00000043468,ENSG00000134249,ortholog_one2one
Emd,ENSMUSG00000001964,ENSG00000102119,ortholog_one2one
Cltrn,ENSMUSG00000015401,ENSG00000147003,ortholog_one2one
Arhgap31,ENSMUSG00000022799,ENSG00000031081,ortholog_one2one
Gm55605,ENSMUSG00002076779,ENSG00000222990,ortholog_one2one
Tmem121b,ENSMUSG00000094626,ENSG00000183307,ortholog_one2one
Pglyrp3,ENSMUSG00000042244,ENSG00000159527,ortholog_one2one
Gm56000,ENSMUSG00002075013,ENSG00000207318,ortholog_one2one
Ufd1,ENSMUSG00000005262,ENSG00000070010,ortholog_one2one
Gm24593,ENSMUSG00000084456,ENSG00000212398,ortholog_one2one
S100a2,ENSMUSG00000094018,ENSG00000196754,ortholog_one2one
Gm23464,ENSMUSG00000065079,ENSG00000202317,ortholog_one2one
Gm25283,ENSMUSG00000087897,ENSG00000199471,ortholog_one2one
Dnajb8,ENSMUSG00000048206,ENSG00000179407,ortholog_one2one
Sox2,ENSMUSG00000074637,ENSG00000181449,ortholog_one2one
Gm25487,ENSMUSG00000089350,ENSG00000277194,ortholog_one2one
Mir137,ENSMUSG00000065569,ENSG00000284202,ortholog_one2one
Klf14,ENSMUSG00000073209,ENSG00000266265,ortholog_one2one
Gripap1,ENSMUSG00000031153,ENSG00000068400,ortholog_one2one
Mir29a,ENSMUSG00000065610,ENSG00000284032,ortholog_one2one
Mir29b-1,ENSMUSG00000065604,ENSG00000283797,ortholog_one2one
Gfral,ENSMUSG00000059383,ENSG00000187871,ortholog_one2one
St3gal6,ENSMUSG00000022747,ENSG00000064225,ortholog_one2one
Mir135a-1,ENSMUSG00000065407,ENSG00000207926,ortholog_one2one
Mirlet7g,ENSMUSG00000065440,ENSG00000199150,ortholog_one2one
Tlr9,ENSMUSG00000045322,ENSG00000239732,ortholog_one2one
Dipk1c,ENSMUSG00000047992,ENSG00000187773,ortholog_one2one
Rab18,ENSMUSG00000073639,ENSG00000099246,ortholog_one2one
Gm25558,ENSMUSG00000088708,ENSG00000272445,ortholog_one2one
Lrch3,ENSMUSG00000022801,ENSG00000186001,ortholog_one2one
Gm24393,ENSMUSG00000088760,ENSG00000222924,ortholog_one2one
Nfatc1,ENSMUSG00000033016,ENSG00000131196,ortholog_one2one
Sh2d7,ENSMUSG00000046460,ENSG00000183476,ortholog_one2one
Gm26146,ENSMUSG00000077666,ENSG00000212473,ortholog_one2one
Hyal1,ENSMUSG00000010051,ENSG00000114378,ortholog_one2one
Prelid3a,ENSMUSG00000024530,ENSG00000141391,ortholog_one2one
Naa80,ENSMUSG00000079334,ENSG00000243477,ortholog_one2one
Isl2,ENSMUSG00000032318,ENSG00000159556,ortholog_one2one
Cd226,ENSMUSG00000034028,ENSG00000150637,ortholog_one2one
Gm23407,ENSMUSG00000064472,ENSG00000207072,ortholog_one2one
Panx3,ENSMUSG00000011118,ENSG00000154143,ortholog_one2one
Or8b8,ENSMUSG00000066748,ENSG00000197125,ortholog_one2one
Gnal,ENSMUSG00000024524,ENSG00000141404,ortholog_one2one
Or8b4,ENSMUSG00000066747,ENSG00000280090,ortholog_one2one
Gm54681,ENSMUSG00002076531,ENSG00000223145,ortholog_one2one
Gm23805,ENSMUSG00000118715,ENSG00000206749,ortholog_one2one
Becn2,ENSMUSG00000104158,ENSG00000196289,ortholog_one2one
Gm54688,ENSMUSG00002075119,ENSG00000200792,ortholog_one2one
Gm24765,ENSMUSG00000065625,ENSG00000207278,ortholog_one2one
Rrs1,ENSMUSG00000061024,ENSG00000179041,ortholog_one2one
Gm54718,ENSMUSG00002076271,ENSG00000240294,ortholog_one2one
Esco1,ENSMUSG00000024293,ENSG00000141446,ortholog_one2one
Ccdc168,ENSMUSG00000091844,ENSG00000175820,ortholog_one2one
Rogdi,ENSMUSG00000022540,ENSG00000067836,ortholog_one2one
Apobec4,ENSMUSG00000055547,ENSG00000173627,ortholog_one2one
Snord87,ENSMUSG00000093178,ENSG00000254341,ortholog_one2one
Apob,ENSMUSG00000020609,ENSG00000084674,ortholog_one2one
Hdac6,ENSMUSG00000031161,ENSG00000094631,ortholog_one2one
Dpysl3,ENSMUSG00000024501,ENSG00000113657,ortholog_one2one
Gm45261,ENSMUSG00000110100,ENSG00000283428,ortholog_one2one
Adnp2,ENSMUSG00000053950,ENSG00000101544,ortholog_one2one
Etf1,ENSMUSG00000024360,ENSG00000120705,ortholog_one2one
Tbccd1,ENSMUSG00000004462,ENSG00000113838,ortholog_one2one
Rpp25,ENSMUSG00000062309,ENSG00000178718,ortholog_one2one
Zbtb7c,ENSMUSG00000044646,ENSG00000184828,ortholog_one2one
Lman1l,ENSMUSG00000056271,ENSG00000140506,ortholog_one2one
Fech,ENSMUSG00000024588,ENSG00000066926,ortholog_one2one
Gm23240,ENSMUSG00000064943,ENSG00000253089,ortholog_one2one
Gm22866,ENSMUSG00000065881,ENSG00000252491,ortholog_one2one
Gm26101,ENSMUSG00000087871,ENSG00000202308,ortholog_one2one
Gm54899,ENSMUSG00002076532,ENSG00000222069,ortholog_one2one
Cpa6,ENSMUSG00000042501,ENSG00000165078,ortholog_one2one
Naa60,ENSMUSG00000005982,ENSG00000122390,ortholog_one2one
Gm24200,ENSMUSG00000064889,ENSG00000271739,ortholog_one2one
Zfp648,ENSMUSG00000066797,ENSG00000179930,ortholog_one2one
Mtnr1b,ENSMUSG00000050901,ENSG00000134640,ortholog_one2one
Ier5,ENSMUSG00000056708,ENSG00000162783,ortholog_one2one
Paqr9,ENSMUSG00000064225,ENSG00000188582,ortholog_one2one
Or1m1,ENSMUSG00000054141,ENSG00000170929,ortholog_one2one
Cep350,ENSMUSG00000033671,ENSG00000135837,ortholog_one2one
Fgd4,ENSMUSG00000022788,ENSG00000139132,ortholog_one2one
Psma8,ENSMUSG00000036743,ENSG00000154611,ortholog_one2one
Tmem185b,ENSMUSG00000098923,ENSG00000226479,ortholog_one2one
Gm23169,ENSMUSG00000087782,ENSG00000207397,ortholog_one2one
Isoc1,ENSMUSG00000024601,ENSG00000066583,ortholog_one2one
Gm25322,ENSMUSG00000084505,ENSG00000207058,ortholog_one2one
C330018D20Rik,ENSMUSG00000024592,ENSG00000164241,ortholog_one2one
Arhgap36,ENSMUSG00000036198,ENSG00000147256,ortholog_one2one
Trpa1,ENSMUSG00000032769,ENSG00000104321,ortholog_one2one
Pcdhgb1,ENSMUSG00000103037,ENSG00000254221,ortholog_one2one
Tmco6,ENSMUSG00000006850,ENSG00000113119,ortholog_one2one
Rwdd2b,ENSMUSG00000041079,ENSG00000156253,ortholog_one2one
Gm23460,ENSMUSG00000065192,ENSG00000207158,ortholog_one2one
Gm23316,ENSMUSG00000088622,ENSG00000206747,ortholog_one2one
Hes1,ENSMUSG00000022528,ENSG00000114315,ortholog_one2one
Rdh8,ENSMUSG00000053773,ENSG00000080511,ortholog_one2one
H2ax,ENSMUSG00000049932,ENSG00000188486,ortholog_one2one
Myh11,ENSMUSG00000018830,ENSG00000133392,ortholog_one2one
